apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-pt.remangas-v1.4.47.apk,pt,remangas,1.4.47,6,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.rfdragonscan-v1.4.9.apk,pt,rfdragonscan,1.4.9,4,,
tachiyomi-pt.saikaiscan-v1.4.12.apk,pt,saikaiscan,1.4.12,56,,
tachiyomi-pt.sakuramangas-v1.4.3.apk,pt,sakuramangas,1.4.3,29,,
tachiyomi-pt.spectralscan-v1.4.58.apk,pt,spectralscan,1.4.58,47,,
tachiyomi-pt.sssscanlator-v1.4.40.apk,pt,sssscanlator,1.4.40,63,,
tachiyomi-pt.starlightscan-v1.4.30.apk,pt,starlightscan,1.4.30,3,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-pt.taiyo-v1.4.8.apk,pt,taiyo,1.4.8,52,,
tachiyomi-pt.tankouhentai-v1.4.45.apk,pt,tankouhentai,1.4.45,3,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.tatakaescan-v1.4.47.apk,pt,tatakaescan,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.temakimangas-v1.4.11.apk,pt,temakimangas,1.4.11,5,,zeistmanga
tachiyomi-pt.tiamanhwa-v1.4.47.apk,pt,tiamanhwa,1.4.47,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.toonbr-v1.4.2.apk,pt,toonbr,1.4.2,30,,
tachiyomi-pt.traducoesdolipe-v1.4.12.apk,pt,traducoesdolipe,1.4.12,6,,zeistmanga
tachiyomi-pt.tsundokutraducoes-v1.4.39.apk,pt,tsundokutraducoes,1.4.39,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-pt.universohentai-v1.4.5.apk,pt,universohentai,1.4.5,5,,
tachiyomi-pt.verdinha-v1.4.8.apk,pt,verdinha,1.4.8,4,,
tachiyomi-pt.wolftoon-v1.4.3.apk,pt,wolftoon,1.4.3,31,,
tachiyomi-pt.xxxyaoi-v1.4.45.apk,pt,xxxyaoi,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.yaoifanclub-v1.4.12.apk,pt,yaoifanclub,1.4.12,4,,zeistmanga
tachiyomi-pt.yomumangas-v1.4.4.apk,pt,yomumangas,1.4.4,56,,
tachiyomi-pt.yugenmangas-v1.4.49.apk,pt,yugenmangas,1.4.49,29,,
tachiyomi-pt.yuriverso-v1.4.48.apk,pt,yuriverso,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-pt.zettahq-v1.4.1.apk,pt,zettahq,1.4.1,16,,
tachiyomi-ru.acomics-v1.4.7.apk,ru,acomics,1.4.7,17,,
tachiyomi-ru.allhentai-v1.4.61.apk,ru,allhentai,1.4.61,8,,
tachiyomi-ru.comx-v1.4.34.apk,ru,comx,1.4.34,25,,
tachiyomi-ru.desu-v1.4.31.apk,ru,desu,1.4.31,57,,
tachiyomi-ru.henchan-v1.4.45.apk,ru,henchan,1.4.45,16,,
tachiyomi-ru.hentailib-v1.4.57.apk,ru,hentailib,1.4.57,8,,
tachiyomi-ru.inkstory-v1.4.1.apk,ru,inkstory,1.4.1,79,,
tachiyomi-ru.mangabuff-v1.4.2.apk,ru,mangabuff,1.4.2,38,,
tachiyomi-ru.mangachan-v1.4.20.apk,ru,mangachan,1.4.20,8,,
tachiyomi-ru.mangaclub-v1.4.12.apk,ru,mangaclub,1.4.12,12,,
tachiyomi-ru.mangahub-v1.4.20.apk,ru,mangahub,1.4.20,6,,
tachiyomi-ru.mangalib-v1.4.112.apk,ru,mangalib,1.4.112,8,,
tachiyomi-ru.mangamammy-v1.4.45.apk,ru,mangamammy,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-ru.mangapoisk-v1.4.12.apk,ru,mangapoisk,1.4.12,9,,
tachiyomi-ru.mangashi-v1.4.45.apk,ru,mangashi,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-ru.mintmanga-v1.4.83.apk,ru,mintmanga,1.4.83,8,,
tachiyomi-ru.multimanga-v1.4.1.apk,ru,multimanga,1.4.1,6,,
tachiyomi-ru.nudemoon-v1.4.26.apk,ru,nudemoon,1.4.26,16,,
tachiyomi-ru.readmanga-v1.4.84.apk,ru,readmanga,1.4.84,9,,
tachiyomi-ru.rumix-v1.4.38.apk,ru,rumix,1.4.38,8,,
tachiyomi-ru.seimanga-v1.4.37.apk,ru,seimanga,1.4.37,8,,
tachiyomi-ru.selfmanga-v1.4.59.apk,ru,selfmanga,1.4.59,8,,
tachiyomi-ru.senkognito-v1.4.10.apk,ru,senkognito,1.4.10,4,,
tachiyomi-ru.senkuro-v1.4.9.apk,ru,senkuro,1.4.9,4,,
